city,country,state,state_abbrev
Mount Pleasant,United States,Michigan,MI
Mount Pleasant,United States,Michigan,MI
Muskegon,United States,Michigan,MI
Muskegon,United States,Michigan,MI
Muskegon,United States,Michigan,MI
Muskegon,United States,Michigan,MI
Nashville,United States,Michigan,MI
Nashville,United States,Michigan,MI
New Baltimore,United States,Michigan,MI
Newberry,United States,Michigan,MI
New Lathrup,United States,Michigan,MI
Niles,United States,Michigan,MI
Niles,United States,Michigan,MI
Niles,United States,Michigan,MI
Niles,United States,Michigan,MI
North Street,United States,Michigan,MI
Northville,United States,Michigan,MI
Northville,United States,Michigan,MI
Novi,United States,Michigan,MI
Novi,United States,Michigan,MI
Novi,United States,Michigan,MI
Nunica,United States,Michigan,MI
Nunica,United States,Michigan,MI
Oakland,United States,Michigan,MI
Oakland,United States,Michigan,MI
Oakland,United States,Michigan,MI
Oakland,United States,Michigan,MI
Oakland county,United States,Michigan,MI
Osceola,United States,Michigan,MI
Olivet,United States,Michigan,MI
Olivet,United States,Michigan,MI
Olivet,United States,Michigan,MI
Omer,United States,Michigan,MI
Ortonville,United States,Michigan,MI
Ossineke,United States,Michigan,MI
Otsego,United States,Michigan,MI
Owosso,United States,Michigan,MI
Owosso,United States,Michigan,MI
Owosso,United States,Michigan,MI
Owosso,United States,Michigan,MI
Oxford,United States,Michigan,MI
Paulding,United States,Michigan,MI
Paulding,United States,Michigan,MI
Pelkie,United States,Michigan,MI
Petoskey,United States,Michigan,MI
Petoskey,United States,Michigan,MI
Petoskey,United States,Michigan,MI
Pinckney,United States,Michigan,MI
Pinckney,United States,Michigan,MI
Pinerun,United States,Michigan,MI
Pittsford,United States,Michigan,MI
Plainwell,United States,Michigan,MI
Plainwell,United States,Michigan,MI
Plainwell,United States,Michigan,MI
Plymouth,United States,Michigan,MI
Plymouth,United States,Michigan,MI
Plymouth,United States,Michigan,MI
Plymouth,United States,Michigan,MI
Pontiac,United States,Michigan,MI
Pontiac,United States,Michigan,MI
Pontiac,United States,Michigan,MI
Pontiac,United States,Michigan,MI
Port Huron,United States,Michigan,MI
Port Huron,United States,Michigan,MI
Port Huron,United States,Michigan,MI
Portland,United States,Michigan,MI
Presque Isle,United States,Michigan,MI
Presque Isle,United States,Michigan,MI
Redford,United States,Michigan,MI
Redford,United States,Michigan,MI
Redford,United States,Michigan,MI
Reed City,United States,Michigan,MI
Richland,United States,Michigan,MI
Richfield township,United States,Michigan,MI
Riverview,United States,Michigan,MI
Riverview,United States,Michigan,MI
Roberts Landing,United States,Michigan,MI
Rochester,United States,Michigan,MI
Rochester,United States,Michigan,MI
Rochester Hills,United States,Michigan,MI
Rochester Hills,United States,Michigan,MI
Rochester Hills,United States,Michigan,MI
Rockford,United States,Michigan,MI
Rockford,United States,Michigan,MI
Rockford,United States,Michigan,MI
Rockford,United States,Michigan,MI
Rockwood,United States,Michigan,MI
Romeo,United States,Michigan,MI
Romulus,United States,Michigan,MI
Romulus,United States,Michigan,MI
Romulus,United States,Michigan,MI
Roscommon,United States,Michigan,MI
Roscommon,United States,Michigan,MI
Roseville,United States,Michigan,MI
Roseville,United States,Michigan,MI
Roseville,United States,Michigan,MI
Roseville,United States,Michigan,MI
Roseville,United States,Michigan,MI
Saint Clair Shores,United States,Michigan,MI
Saginaw,United States,Michigan,MI
Saginaw,United States,Michigan,MI
Saginaw,United States,Michigan,MI
Salem Township,United States,Michigan,MI
Saltillo,United States,Michigan,MI
Sandusky,United States,Michigan,MI
Saugatuck,United States,Michigan,MI
Saugatuck,United States,Michigan,MI
Sault Ste Marie,United States,Michigan,MI
Schoolcraft,United States,Michigan,MI
Sebewaing,United States,Michigan,MI
Shelby Township,United States,Michigan,MI
Sheldrake,United States,Michigan,MI
Shepherd,United States,Michigan,MI
Shepherd,United States,Michigan,MI
Sidnaw,United States,Michigan,MI
Sidney,United States,Michigan,MI
Somerset,United States,Michigan,MI
South Rockwood,United States,Michigan,MI
Southgate,United States,Michigan,MI
Southgate,United States,Michigan,MI
Southgate,United States,Michigan,MI
Sparta,United States,Michigan,MI
St. Clair,United States,Michigan,MI
St. Clair,United States,Michigan,MI
